CustomerID,Customer Name ,email_address,Phone Number,Country,Signup Date,Loyalty Tier,Age,Marketing Opt-In,Customer Segment,"Notes (internal use only, ignore)"
CUST-1001,Wayne Lee,wayne.lee@yahoo.com,+1-362-641-9911,Germany,01/05/2024,,-5.0,1,VIP,N/A
CUST-1002,THERESA GREEN DDS,,,DE,2025/07/21,GOLD,22.0,TRUE,Wholesale,
CUST-1003,Jason Clarke,jason.clarke@yahoo.com,1394304867,Nigeria,15/12/2024,Gold,150.0,Yes,Wholesale,VIP - handle with care
CUST-1004,Dawn Stephens,dawn.stephens@,(615) 805-3993,Canada,11/10/2023,Silver,22.0,Y,Wholesale,VIP - handle with care
CUST-1005,Linda Martinez,linda.martinez @outlook.com,1266415860,FR,2021/06/09,Gold,75.0,,B2B,called twice re: refund
CUST-1006, Johnny Glass,johnny.glass@outlook.com,call-me-maybe,UK,16/11/2022,GOLD,34.0,Yes,Wholesale,
CUST-1007,Megan Ramirez,megan.ramirez@outlook.com,4999154199,United Kingdom,"September 10, 2022",Gold,43.0,Y,vip,N/A
CUST-1008,Crystal Morgan,crystal.morgan@outlook.com,9549776580,canada,16/02/2026,,,1,B2B,VIP - handle with care
CUST-1009,Kevin Flynn,kevin.flynn@gmail.com,239.507.8622,Deutschland,"January 20, 2026",Platinum,18.0,Y,Retail,
CUST-1010,Samantha Park,samantha.parkoutlook.com,call-me-maybe,ZA,03-Mar-2021,,-5.0,Yes,Retail,
CUST-1011,Darlene Mullen,darlene.mullen@yahoo.com,(311) 199-2306,U.K.,20-Mar-2026,,69.0,FALSE,retail ,called twice re: refund
CUST-1012,Morgan Shea DVM,morgan.shea.dvm@outlook.com,(870) 431-5771,NG,12/04/2025,GOLD,-2.0,TRUE,Retail,
CUST-1013,Nicole Cain,nicole.cain@yahoo.com,1235873166,S. Africa,2021/03/15,,26.0,No,Wholesale,VIP - handle with care
CUST-1014,Bethany Hood,bethany.hood@yahoo.com,###-###-####,Brasil,2023/11/14,Gold,54.0,N,Retail,
CUST-1015,Mason Lam,mason.lam@outlook.com,(381) 286-1828,United States of America,2021-01-04,GOLD,44.0,Yes,Wholesale,
CUST-1016,Devin Tran PhD,devin.tran.phd@hotmail.com,+1-188-131-4358,US,"July 26, 2025",Platinum,34.0,N,B2B,
CUST-1017,Wendy Velez,wendy.velez@company.co,453.118.7439,australia,2021-12-03,bronze,41.0,TRUE,VIP,N/A
CUST-1018,Kari White,kari.white@gmail.com,+1-668-440-3429,france,2022/06/26,,31.0,TRUE,B2B,VIP - handle with care
CUST-1019,Amanda Valentine,amanda.valentine@yahoo.com,+1-902-400-6399,France,07/12/2025,Silver,,,B2B,
CUST-1020,CYNTHIA MARTIN,cynthia.martin@yahoo.com,640.847.7396,Nigéria,2024/02/29,bronze,41.0,,retail ,N/A
CUST-1021,Andrea Jordan,andrea.jordan@yahoo.com,+1-783-100-7931,nigeria,2024/01/27,Gold,35.0,,VIP,called twice re: refund
CUST-1022,Chad King,chad.king@gmail.com,753.258.6879,Brazil,2024/06/16,Gold,46.0,N,vip,VIP - handle with care
CUST-1023,Alyssa Nash,alyssa.nash@hotmail.com,###-###-####,france,14/09/2024,,70.0,TRUE,Retail,VIP - handle with care
CUST-1024,deanna klein,deanna.klein@company.co,7942643606,RSA,28/08/2021,Platinum,-4.0,0,Wholesale,VIP - handle with care
CUST-1025,David Gordon,david.gordon@hotmail.com,2853974624,NG,27/02/2026,GOLD,70.0,Y,B2B,
CUST-1026,Megan Williams,megan.williams@hotmail.com,483.214.1160,FR,"July 05, 2022",,47.0,No,VIP,N/A
CUST-1027,Brittany Lopez,brittany.lopez@gmail.com,480.484.4838,DE,10/05/2024,Silver,45.0,N,Retail,N/A
CUST-1028,ANDREA JENKINS,andrea.jenkins@@yahoo.com,(859) 815-7911,England,"March 21, 2022",,43.0,Y,Retail,VIP - handle with care
CUST-1029,Jerry Bailey,jerry.bailey@outlook.com,(709) 887-7666,United States,08/31/2023,Bronze,52.0,Yes,Wholesale,
CUST-1030,Gerald Castillo,gerald.castillo@company.co,6128832481,CA,04-Nov-2024,,49.0,FALSE,B2B,called twice re: refund
CUST-1031,Jennifer Rice,jennifer.rice@company.co,(167) 613-9741,Nigéria,2025-13-05,Silver,21.0,Yes,Retail,
CUST-1032,James Miller,james.miller@company.co,+1-425-265-9113,USA,21-Apr-2023,bronze,33.0,FALSE,retail ,called twice re: refund
CUST-1033,JONATHAN MOORE,jonathan.moore@hotmail.com,(534) 969-4911,CA,2024-02-20,Platinum,67.0,FALSE,B2B,
CUST-1034,Justin Tucker,justin.tucker@gmail.com,(287) 208-9572,Britain,09/14/2021,Gold,46.0,N,VIP,
CUST-1035,Dawn Wilkins,dawn.wilkins@hotmail.com,(122) 140-5872,United States,24-Oct-2022,Bronze,40.0,Y,VIP,VIP - handle with care
CUST-1036,Thomas Peterson,thomas.peterson@gmail.com,call-me-maybe,S. Africa,2023/12/26,GOLD,150.0,No,Wholesale,
CUST-1037,george arroyo,george.arroyo@outlook.com,519.999.5103,Australia,11/26/2023,Platinum,51.0,N,B2B,N/A
CUST-1038,Terri Ritter,terri.ritter@outlook.com,(430) 405-5329,Britain,2021-10-03,Platinum,58.0,0,VIP,
CUST-1039,Robert Williams,robert.williams@hotmailcom,+1-939-374-2506,DE,2026/04/17,GOLD,72.0,No,retail ,called twice re: refund
CUST-1040,Dawn Cook,dawn.cook@hotmail.com,###-###-####,South Africa,2025/12/16,Bronze,,1,Retail,N/A
CUST-1041,Katie Arnold,katie.arnold @gmail.com,7703568261,Nigéria,2021/04/20,Platinum,52.0,N,Retail,called twice re: refund
CUST-1007,James Gillespie,james.gillespie@yahoo.com,3885715383,U.K.,2025/11/20,,59.0,Y,retail ,called twice re: refund
CUST-1043,Alex Schneider,alex.schneider@yahoo.com,+1-138-640-3295,S. Africa,06/25/2025,Gold,38.0,Y,VIP,VIP - handle with care
CUST-1044,David Nelson,david.nelson @gmail.com,+1-590-776-1573,South Africa,03-Sep-2024,bronze,37.0,Y,VIP,called twice re: refund
CUST-1045,James Mcpherson,james.mcpherson@gmail.com,call-me-maybe,South Africa,16-Jan-2021,GOLD,38.0,1,B2B,
CUST-1046,Amanda Zhang,amanda.zhang@hotmail.com,+1-750-337-2437,South Africa,"September 02, 2024",GOLD,63.0,N,Wholesale,N/A
CUST-1047,Shannon Thompson,shannon.thompson@hotmail.com,+1-183-165-7386,france,12/27/2024,Gold,150.0,FALSE,VIP,
CUST-1048,Christopher Rojas,christopher.rojas@outlook.com,253.994.2245,India,"June 10, 2021",Platinum,51.0,,retail ,VIP - handle with care
CUST-1049,Destiny Moyer,destiny.moyer@gmail.com,(755) 808-1419,Nigéria,2026/02/14,bronze,26.0,Y,Wholesale,N/A
CUST-1050,Michelle Henderson,michelle.henderson @company.co,112.391.6167,united states,15/10/2024,Platinum,24.0,,B2B,
CUST-1051,Kirsten Maxwell,kirsten.maxwell@yahoo.com,119.953.7354,ZA,2023/06/27,Silver,42.0,,Retail,
CUST-1052,Andrea Williams,andrea.williamscompany.co,+1-647-559-1837,india,2023/12/27,,24.0,0,Retail,
CUST-1053,Thomas Murphy,thomas.murphy@company.co,(766) 509-4488,Brasil,10/20/2021,GOLD,30.0,Y,vip,called twice re: refund
CUST-1054,justin kelley,justin.kelley@gmail.com,2445041992,U.S.A.,10/03/2021,,47.0,0,Retail,called twice re: refund
CUST-1055, ROBERT FORD,robert.ford@hotmail.com,7422721436,DE,16/06/2022,Bronze,54.0,0,Retail,
CUST-1056,brandy brady  ,brandy.brady@yahoo.com,(485) 390-1888,India,"March 20, 2025",,73.0,No,retail ,
CUST-1057,jordan taylor,jordan.taylor@outlook.com,2402523642,France,21/09/2021,Platinum,23.0,Yes,Retail,VIP - handle with care
CUST-1058,Brenda Gallagher,brenda.gallagher@hotmail.com,+1-530-641-2991,S. Africa,08-Apr-2024,Platinum,64.0,Yes,B2B,
CUST-1059,ALEXANDRA FRYE,alexandra.frye@gmail.com,call-me-maybe,USA,2026-03-05,,54.0,FALSE,Wholesale,
CUST-1060,Ashley White,ashley.white@company.co,494.956.1590,Nigéria,10/25/2025,Platinum,25.0,N,Retail,
CUST-1061,Jordan Carroll,jordan.carroll@hotmail.com,+1-953-584-1433,India,21-Jan-2022,Silver,30.0,Yes,VIP,
CUST-1062,Aaron Jones,aaron.jones@company.co,+1-384-471-5122,NG,2025-03-30,Platinum,34.0,N,Wholesale,N/A
CUST-1063,Cameron  Sullivan,cameron.sullivan@hotmail.com,call-me-maybe,India,2024-02-04,,-1.0,Yes,Wholesale,called twice re: refund
CUST-1064,phillip johnson,phillip.johnson@yahoo.com,(178) 358-5468,france,01/03/2025,Platinum,58.0,No,vip,
CUST-1065,danielle sims,danielle.sims@hotmail.com,(263) 933-6587,france,17/07/2024,GOLD,45.0,1,VIP,VIP - handle with care
CUST-1066,Benjamin Le,benjamin.le@gmail.com,2357864798,FR,08/03/2025,,44.0,0,Wholesale,VIP - handle with care
CUST-1067,Robert Nguyen,robert.nguyen@company.co,+1-245-195-7920,USA,2024/01/30,GOLD,25.0,Yes,Retail,
CUST-1068,Kevin Chambers,kevin.chambers@@yahoo.com,+1-333-873-4023,DE,2022/12/23,bronze,54.0,No,VIP,VIP - handle with care
CUST-1069,Cindy Davis DVM,cindy.davis.dvm@company.co,462.878.9504,united states,23/05/2023,GOLD,57.0,0,VIP,
CUST-1070,Marcus Cunningham,marcus.cunningham@hotmail.com,9363574041,IN,2022-04-04,GOLD,48.0,0,B2B,
CUST-1071,Ms. Roberta Lopez,ms..roberta.lopez@gmail.com,662.794.8774,Nigéria,02/02/2025,Gold,,No,Wholesale,VIP - handle with care
CUST-1072,Karen Hines,karen.hines@company.co,1445466101,France,2021/09/15,Platinum,42.0,TRUE,Retail,called twice re: refund
CUST-1073,Brenda Powell,brenda.powell@outlook.com,701.698.1791,india,05/01/2024,Silver,,FALSE,Wholesale,N/A
CUST-1074,chelsea nguyen,chelsea.nguyen@gmail.com,9764151514,U.S.A.,2022/05/25,,56.0,Yes,vip,called twice re: refund
CUST-1075,JOE HUMPHREY  ,joe.humphrey@company.co,+1-713-230-2670,germany,24/02/2025,bronze,150.0,1,retail ,
